[2020-08-03 20:01:40,656] [INFO] [akka.actor.EmptyLocalActorRef] [] [Monitoring-akka.actor.default-dispatcher-29] - Message [akka.cluster.sharding.ShardCoordinator$Internal$Register] from Actor[akka://Monitoring/system/sharding/QueryFederator#-1525988302] to Actor[akka://Monitoring/system/sharding/QueryFederatorCoordinator/singleton/coordinator] was not delivered. [2] dead letters encountered. If this is not an expected behavior, then [Actor[akka://Monitoring/system/sharding/QueryFederatorCoordinator/singleton/coordinator]] may have terminated unexpectedly, This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'. MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-4, akkaSource=akka://Monitoring/system/sharding/QueryFederatorCoordinator/singleton/coordinator, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.655UTC}
[2020-08-03 20:01:40,656] [INFO] [akka.actor.EmptyLocalActorRef] [] [Monitoring-akka.actor.default-dispatcher-29] - Message [akka.cluster.sharding.ShardCoordinator$Internal$Register] from Actor[akka://Monitoring/system/sharding/SubQueryExecutor#-1516986353] to Actor[akka://Monitoring/system/sharding/SubQueryExecutorCoordinator/singleton/coordinator] was not delivered. [3] dead letters encountered. If this is not an expected behavior, then [Actor[akka://Monitoring/system/sharding/SubQueryExecutorCoordinator/singleton/coordinator]] may have terminated unexpectedly, This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'. MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-4, akkaSource=akka://Monitoring/system/sharding/SubQueryExecutorCoordinator/singleton/coordinator, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.656UTC}
[2020-08-03 20:01:40,671] [INFO] [akka.cluster.singleton.ClusterSingletonManager] [] [Monitoring-akka.actor.default-dispatcher-20] - Singleton manager starting singleton actor [akka://Monitoring/system/sharding/SubQueryExecutorCoordinator/singleton] MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-4, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/SubQueryExecutorCoordinator, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.671UTC}
[2020-08-03 20:01:40,671] [INFO] [akka.cluster.singleton.ClusterSingletonManager] [] [Monitoring-akka.actor.default-dispatcher-20] - Singleton manager starting singleton actor [akka://Monitoring/system/sharding/SubQueryFederatorCoordinator/singleton] MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-28, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/SubQueryFederatorCoordinator, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.671UTC}
[2020-08-03 20:01:40,672] [INFO] [akka.cluster.singleton.ClusterSingletonManager] [] [Monitoring-akka.actor.default-dispatcher-20] - Singleton manager starting singleton actor [akka://Monitoring/system/sharding/QueryFederatorCoordinator/singleton] MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-26, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/QueryFederatorCoordinator, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.671UTC}
[2020-08-03 20:01:40,672] [INFO] [akka.cluster.singleton.ClusterSingletonManager] [] [Monitoring-akka.actor.default-dispatcher-20] - ClusterSingletonManager state change [Start -> Oldest] MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-4, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/SubQueryExecutorCoordinator, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.672UTC}
[2020-08-03 20:01:40,673] [INFO] [akka.cluster.singleton.ClusterSingletonManager] [] [Monitoring-akka.actor.default-dispatcher-20] - ClusterSingletonManager state change [Start -> Oldest] MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-28, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/SubQueryFederatorCoordinator, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.672UTC}
[2020-08-03 20:01:40,673] [INFO] [akka.cluster.singleton.ClusterSingletonManager] [] [Monitoring-akka.actor.default-dispatcher-20] - ClusterSingletonManager state change [Start -> Oldest] MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-26, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/QueryFederatorCoordinator, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.672UTC}
[2020-08-03 20:01:40,689] [INFO] [akka.cluster.sharding.DDataShardCoordinator] [] [Monitoring-akka.actor.default-dispatcher-30] - ShardCoordinator was moved to the active state State(Map()) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-26, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/QueryFederatorCoordinator/singleton/coordinator, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.689UTC}
[2020-08-03 20:01:40,689] [INFO] [akka.cluster.sharding.DDataShardCoordinator] [] [Monitoring-akka.actor.default-dispatcher-30] - ShardCoordinator was moved to the active state State(Map()) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-28, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/SubQueryFederatorCoordinator/singleton/coordinator, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.689UTC}
[2020-08-03 20:01:40,689] [INFO] [akka.cluster.sharding.DDataShardCoordinator] [] [Monitoring-akka.actor.default-dispatcher-30] - ShardCoordinator was moved to the active state State(Map()) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-20, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/SubQueryExecutorCoordinator/singleton/coordinator, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.689UTC}
[2020-08-03 20:01:40,770] [INFO] [monitoring.actor.MetricsListener] [] [Monitoring-akka.actor.default-dispatcher-28] - Used heap: 77.54930114746094 MB (max: 10923.0) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-30, akkaSource=akka://Monitoring@155.223.25.1:2551/user/$a, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.770UTC}
[2020-08-03 20:01:40,775] [INFO] [monitoring.actor.MetricsListener] [] [Monitoring-akka.actor.default-dispatcher-28] - Load: 0.16 (16 processors) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-30, akkaSource=akka://Monitoring@155.223.25.1:2551/user/$a, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.775UTC}
[2020-08-03 20:01:43,766] [INFO] [monitoring.actor.MetricsListener] [] [Monitoring-akka.actor.default-dispatcher-2] - Used heap: 77.69902515411377 MB (max: 10923.0) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-29, akkaSource=akka://Monitoring@155.223.25.1:2551/user/$a, sourceActorSystem=Monitoring, akkaTimestamp=20:01:43.766UTC}
[2020-08-03 20:01:43,766] [INFO] [monitoring.actor.MetricsListener] [] [Monitoring-akka.actor.default-dispatcher-2] - Load: 0.23 (16 processors) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-29, akkaSource=akka://Monitoring@155.223.25.1:2551/user/$a, sourceActorSystem=Monitoring, akkaTimestamp=20:01:43.766UTC}
[2020-08-03 20:01:45,651] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-29] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Received InitJoin message from [Actor[akka://Monitoring@155.223.25.2:2551/system/cluster/core/daemon/joinSeedNodeProcess-1#-1513864959]] to [akka://Monitoring@155.223.25.1:2551] MDC: {sourceThread=Monitoring-cluster-dispatcher-16, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=20:01:45.651UTC}
[2020-08-03 20:01:45,651] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-29] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Sending InitJoinAck message from node [akka://Monitoring@155.223.25.1:2551] to [Actor[akka://Monitoring@155.223.25.2:2551/system/cluster/core/daemon/joinSeedNodeProcess-1#-1513864959]] (version [2.5.31]) MDC: {sourceThread=Monitoring-cluster-dispatcher-16, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=20:01:45.651UTC}
[2020-08-03 20:01:45,750] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-29] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Node [akka://Monitoring@155.223.25.2:2551] is JOINING, roles [dc-default] MDC: {sourceThread=Monitoring-cluster-dispatcher-16, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=20:01:45.750UTC}
[2020-08-03 20:01:45,894] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-20] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Leader is moving node [akka://Monitoring@155.223.25.2:2551] to [Up] MDC: {sourceThread=Monitoring-cluster-dispatcher-22, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=20:01:45.894UTC}
[2020-08-03 20:01:46,762] [INFO] [monitoring.actor.MetricsListener] [] [Monitoring-akka.actor.default-dispatcher-27] - Used heap: 80.6971607208252 MB (max: 10923.0) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-30, akkaSource=akka://Monitoring@155.223.25.1:2551/user/$a, sourceActorSystem=Monitoring, akkaTimestamp=20:01:46.762UTC}
[2020-08-03 20:01:46,762] [INFO] [monitoring.actor.MetricsListener] [] [Monitoring-akka.actor.default-dispatcher-27] - Load: 0.23 (16 processors) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-30, akkaSource=akka://Monitoring@155.223.25.1:2551/user/$a, sourceActorSystem=Monitoring, akkaTimestamp=20:01:46.762UTC}
[2020-08-03 20:01:49,763] [INFO] [monitoring.actor.MetricsListener] [] [Monitoring-akka.actor.default-dispatcher-30] - Used heap: 86.28099536895752 MB (max: 10923.0) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-27, akkaSource=akka://Monitoring@155.223.25.1:2551/user/$a, sourceActorSystem=Monitoring, akkaTimestamp=20:01:49.763UTC}
[2020-08-03 20:01:49,764] [INFO] [monitoring.actor.MetricsListener] [] [Monitoring-akka.actor.default-dispatcher-30] - Load: 0.21 (16 processors) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-27, akkaSource=akka://Monitoring@155.223.25.1:2551/user/$a, sourceActorSystem=Monitoring, akkaTimestamp=20:01:49.763UTC}
[2020-08-03 20:01:52,763] [INFO] [monitoring.actor.MetricsListener] [] [Monitoring-akka.actor.default-dispatcher-30] - Used heap: 92.63903903961182 MB (max: 10923.0) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-28, akkaSource=akka://Monitoring@155.223.25.1:2551/user/$a, sourceActorSystem=Monitoring, akkaTimestamp=20:01:52.763UTC}
[2020-08-03 20:01:52,763] [INFO] [monitoring.actor.MetricsListener] [] [Monitoring-akka.actor.default-dispatcher-30] - Load: 0.19 (16 processors) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-28, akkaSource=akka://Monitoring@155.223.25.1:2551/user/$a, sourceActorSystem=Monitoring, akkaTimestamp=20:01:52.763UTC}
[2020-08-03 20:01:55,763] [INFO] [monitoring.actor.MetricsListener] [] [Monitoring-akka.actor.default-dispatcher-25] - Used heap: 97.83027362823486 MB (max: 10923.0) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-28, akkaSource=akka://Monitoring@155.223.25.1:2551/user/$a, sourceActorSystem=Monitoring, akkaTimestamp=20:01:55.763UTC}
[2020-08-03 20:01:55,763] [INFO] [monitoring.actor.MetricsListener] [] [Monitoring-akka.actor.default-dispatcher-25] - Load: 0.19 (16 processors) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-28, akkaSource=akka://Monitoring@155.223.25.1:2551/user/$a, sourceActorSystem=Monitoring, akkaTimestamp=20:01:55.763UTC}
[2020-08-03 20:01:58,762] [INFO] [monitoring.actor.MetricsListener] [] [Monitoring-akka.actor.default-dispatcher-27] - Used heap: 102.13437747955322 MB (max: 10923.0) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-30, akkaSource=akka://Monitoring@155.223.25.1:2551/user/$a, sourceActorSystem=Monitoring, akkaTimestamp=20:01:58.762UTC}
[2020-08-03 20:01:58,763] [INFO] [monitoring.actor.MetricsListener] [] [Monitoring-akka.actor.default-dispatcher-27] - Load: 0.18 (16 processors) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-30, akkaSource=akka://Monitoring@155.223.25.1:2551/user/$a, sourceActorSystem=Monitoring, akkaTimestamp=20:01:58.762UTC}
[2020-08-03 20:01:59,579] [INFO] [monitoring.actor.QueryFederator] [] [Monitoring-akka.actor.default-dispatcher-28] - Actor count has been increased MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-30, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/QueryFederator/-13/-1601028853, sourceActorSystem=Monitoring, akkaTimestamp=20:01:59.579UTC}
