[2020-08-05 10:54:17,983] [INFO] [akka.actor.EmptyLocalActorRef] [] [Monitoring-akka.actor.default-dispatcher-20] - Message [akka.cluster.sharding.ShardCoordinator$Internal$Register] from Actor[akka://Monitoring/system/sharding/SubQueryFederator#-129791614] to Actor[akka://Monitoring/system/sharding/SubQueryFederatorCoordinator/singleton/coordinator] was not delivered. [2] dead letters encountered. If this is not an expected behavior, then [Actor[akka://Monitoring/system/sharding/SubQueryFederatorCoordinator/singleton/coordinator]] may have terminated unexpectedly, This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'. MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-3, akkaSource=akka://Monitoring/system/sharding/SubQueryFederatorCoordinator/singleton/coordinator, sourceActorSystem=Monitoring, akkaTimestamp=10:54:17.983UTC}
[2020-08-05 10:54:17,984] [INFO] [akka.actor.EmptyLocalActorRef] [] [Monitoring-akka.actor.default-dispatcher-20] - Message [akka.cluster.sharding.ShardCoordinator$Internal$Register] from Actor[akka://Monitoring/system/sharding/SubQueryExecutor#-1640688514] to Actor[akka://Monitoring/system/sharding/SubQueryExecutorCoordinator/singleton/coordinator] was not delivered. [3] dead letters encountered. If this is not an expected behavior, then [Actor[akka://Monitoring/system/sharding/SubQueryExecutorCoordinator/singleton/coordinator]] may have terminated unexpectedly, This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'. MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-3, akkaSource=akka://Monitoring/system/sharding/SubQueryExecutorCoordinator/singleton/coordinator, sourceActorSystem=Monitoring, akkaTimestamp=10:54:17.983UTC}
[2020-08-05 10:54:17,997] [INFO] [akka.cluster.singleton.ClusterSingletonManager] [] [Monitoring-akka.actor.default-dispatcher-22] - Singleton manager starting singleton actor [akka://Monitoring/system/sharding/SubQueryFederatorCoordinator/singleton] MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-20, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/SubQueryFederatorCoordinator, sourceActorSystem=Monitoring, akkaTimestamp=10:54:17.997UTC}
[2020-08-05 10:54:17,997] [INFO] [akka.cluster.singleton.ClusterSingletonManager] [] [Monitoring-akka.actor.default-dispatcher-22] - Singleton manager starting singleton actor [akka://Monitoring/system/sharding/SubQueryExecutorCoordinator/singleton] MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-31, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/SubQueryExecutorCoordinator, sourceActorSystem=Monitoring, akkaTimestamp=10:54:17.997UTC}
[2020-08-05 10:54:17,998] [INFO] [akka.cluster.singleton.ClusterSingletonManager] [] [Monitoring-akka.actor.default-dispatcher-22] - Singleton manager starting singleton actor [akka://Monitoring/system/sharding/QueryFederatorCoordinator/singleton] MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-32, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/QueryFederatorCoordinator, sourceActorSystem=Monitoring, akkaTimestamp=10:54:17.997UTC}
[2020-08-05 10:54:17,998] [INFO] [akka.cluster.singleton.ClusterSingletonManager] [] [Monitoring-akka.actor.default-dispatcher-22] - ClusterSingletonManager state change [Start -> Oldest] MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-31, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/SubQueryExecutorCoordinator, sourceActorSystem=Monitoring, akkaTimestamp=10:54:17.998UTC}
[2020-08-05 10:54:17,999] [INFO] [akka.cluster.singleton.ClusterSingletonManager] [] [Monitoring-akka.actor.default-dispatcher-22] - ClusterSingletonManager state change [Start -> Oldest] MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-32, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/QueryFederatorCoordinator, sourceActorSystem=Monitoring, akkaTimestamp=10:54:17.998UTC}
[2020-08-05 10:54:17,999] [INFO] [akka.cluster.singleton.ClusterSingletonManager] [] [Monitoring-akka.actor.default-dispatcher-22] - ClusterSingletonManager state change [Start -> Oldest] MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-20, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/SubQueryFederatorCoordinator, sourceActorSystem=Monitoring, akkaTimestamp=10:54:17.998UTC}
[2020-08-05 10:54:18,015] [INFO] [akka.cluster.sharding.DDataShardCoordinator] [] [Monitoring-akka.actor.default-dispatcher-3] - ShardCoordinator was moved to the active state State(Map()) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-31, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/SubQueryExecutorCoordinator/singleton/coordinator, sourceActorSystem=Monitoring, akkaTimestamp=10:54:18.015UTC}
[2020-08-05 10:54:18,015] [INFO] [akka.cluster.sharding.DDataShardCoordinator] [] [Monitoring-akka.actor.default-dispatcher-3] - ShardCoordinator was moved to the active state State(Map()) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-22, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/QueryFederatorCoordinator/singleton/coordinator, sourceActorSystem=Monitoring, akkaTimestamp=10:54:18.015UTC}
[2020-08-05 10:54:18,016] [INFO] [akka.cluster.sharding.DDataShardCoordinator] [] [Monitoring-akka.actor.default-dispatcher-3] - ShardCoordinator was moved to the active state State(Map()) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-20, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/SubQueryFederatorCoordinator/singleton/coordinator, sourceActorSystem=Monitoring, akkaTimestamp=10:54:18.015UTC}
[2020-08-05 10:54:18,800] [INFO] [monitoring.actor.MetricsListener] [] [Monitoring-akka.actor.default-dispatcher-20] - Used heap: 78.1767578125 MB (max: 13653.5) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-31, akkaSource=akka://Monitoring@155.223.25.1:2551/user/$a, sourceActorSystem=Monitoring, akkaTimestamp=10:54:18.800UTC}
[2020-08-05 10:54:18,805] [INFO] [monitoring.actor.MetricsListener] [] [Monitoring-akka.actor.default-dispatcher-31] - Load: 0.07 (16 processors) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-31, akkaSource=akka://Monitoring@155.223.25.1:2551/user/$a, sourceActorSystem=Monitoring, akkaTimestamp=10:54:18.805UTC}
[2020-08-05 10:54:21,794] [INFO] [monitoring.actor.MetricsListener] [] [Monitoring-akka.actor.default-dispatcher-29] - Used heap: 78.33324337005615 MB (max: 13653.5) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-22, akkaSource=akka://Monitoring@155.223.25.1:2551/user/$a, sourceActorSystem=Monitoring, akkaTimestamp=10:54:21.794UTC}
[2020-08-05 10:54:21,794] [INFO] [monitoring.actor.MetricsListener] [] [Monitoring-akka.actor.default-dispatcher-29] - Load: 0.07 (16 processors) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-22, akkaSource=akka://Monitoring@155.223.25.1:2551/user/$a, sourceActorSystem=Monitoring, akkaTimestamp=10:54:21.794UTC}
[2020-08-05 10:54:22,637] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-22] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Received InitJoin message from [Actor[akka://Monitoring@155.223.25.2:2551/system/cluster/core/daemon/joinSeedNodeProcess-1#-491971258]] to [akka://Monitoring@155.223.25.1:2551] MDC: {sourceThread=Monitoring-cluster-dispatcher-28, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=10:54:22.636UTC}
